Species	Genes	Alg.-Conn.	GCA.001674955.1.ASM167495v1	GCA.000802205.2.ASM80220v2	GCA.003164815.1.20120700.S1D	GCA.000698785.1.ASM69878v1	GCF.000026045.1.ASM2604v1	GCA.900696045.1.Nitrosocosmicus.franklandus.C13	GCA.007826885.1.ASM782688v1	GCF.000006805.1.ASM680v1	GCA.005877425.1.ASM587742v1	GCA.002317795.1.ASM231779v1	GCA.005877385.1.ASM587738v1	GCA.900177045.1.Candidatus.Nitrosotalea.koreensis.CS.whole.genome	GCA.001543015.1.ASM154301v1	GCA.002789395.1.ASM278939v1	GCA.000956175.1.ASM95617v1	GCA.000204585.1.ASM20458v1	GCA.900620265.1.Nitrosopumilaceae.archaeon.O2.Ibasta	GCA.000875775.1.ASM87577v1	GCA.003175215.1.ASM317521v1	GCA.000242875.3.ASM24287v3	GCA.000299395.1.ASM29939v1	GCA.900065925.1.NDEV.embl.gz	GCA.000685395.1.NKMY2	GCA.000299365.1.ASM29936v1	GCA.000328945.1.NSJ	GCA.000018465.1.ASM1846v1	GCA.002787055.1.ASM278705v1	GCA.000220175.2.ASM22017v1	GCA.000723185.1.APF.1883.PRJEB4650	GCA.000200715.1.ASM20071v1	GCA.005877205.1.ASM587720v1	GCA.900143675.1.Candidatus.Nitrosotalea.sinensis.Nd2.whole.genome	GCA.000955905.3.ASM95590v3	GCA.003569705.1.ASM356970v1	GCA.000270325.1.ASM27032v1	GCA.005877475.1.ASM587747v1	GCA.900167955.1.ASM90016795v1	GCA.005877295.1.ASM587729v1	GCA.006740685.1.ASM674068v1	GCA.002906215.1.ASM290621v1	GCA.001541925.1.ASM154192v1	GCA.007571135.1.ASM757113v1	GCF.000006175.1.ASM617v2	GCA.005877305.1.ASM587730v1	GCA.900248165.1.Nitrosocaldus.cavascurensis.SCU2.chromosome	GCA.002506665.1.ASM250666v1	GCA.002495315.1.ASM249531v1	GCA.001437625.1.ASM143762v1	GCA.002156965.1.ASM215696v1	GCA.003056285.1.ASM305628v1	GCA.002508395.1.ASM250839v1	GCA.003702495.1.ASM370249v1	GCA.001443365.1.ASM144336v1	GCA.003724255.1.ASM372425v1	GCA.003702545.1.ASM370254v1	GCA.005778305.1.ASM577830v1	GCA.007280335.1.ASM728033v1	GCA.005798405.1.ASM579840v1	GCA.003331425.1.ASM333142v1	GCA.005798385.1.ASM579838v1	GCA.001510275.1.ASM151027v1	GCA.003702465.1.ASM370246v1	GCA.003724325.1.ASM372432v1	GCA.003045125.1.CN25urea.metaspades	GCA.002737445.1.ASM273744v1	GCA.000812185.1.ASM81218v1	GCA.001627235.1.ASM162723v1	GCA.002737455.1.ASM273745v1	2500.S23.NADW.med.34.fa	5009.S15.AABW.high.53.fa	GCA.001510225.1.ASM151022v1	3770.S23.AABW.high.29.fa	4513.S07.AABW.high.2.fa	2505m.S07.NADW.high.18.fa	750m.S07.AAIW.high.7.fa
60	60	0.683	KV575202.1_118	CP012850.1_3204	PLUF01000102.1_25	CP007536.1_782	*	LR216287.1_564	ML675584.1_108	*	VBPF01000104.1_16	*	*	LT841358.1_846	LFLC01000016.1_5	PFTD01000077.1_5	CP011070.1_874	CM001158.1_784	UYNY01000031.1_136	CP010868.1_1051	BGKI01000007.1_286	AEXL02000090.1_89	CP003843.1_1297	LN890280.1_725	AVSQ01000020.1_13	CP003842.1_1322	AJVI01000001.1_179	CP000866.1_1145	CP024808.1_323	AFPU01000001.1_1170	CBTY010000008.1_506	DP000238.1_1101	VBPL01000013.1_22	FRFC01000005.1_103	CP011097.2_801	BGOU01000008.1_50	*	VBPD01000048.1_12	FUYK01000007.1_375	VBPH01000068.1_26	CP035425.1_1672	CP024014.1_1432	LQMW01000026.1_39	RKRY01000110.1_15	*	VBPW01000064.1_8	LT981265.1_434	DAXZ01000027.1_6	*	LIAL01000014.1_19	CP021324.1_570	*	DAKA01000099.1_7	REGH01000007.1_35	LDXL01000006.1_47	RHFE01000060.1_17	REGK01000030.1_21	SXPA01000027.1_6	QYQE01000040.1_2	SYJQ01000063.1_8	QOOS01000003.1_50	SYJR01000102.1_37	*	REGF01000094.1_2	RHFD01000032.1_5	LXWN01000001.1_129	NSIR01000001.1_240	CP007026.1_552	LUPB01000009.1_14	NSIS01000012.1_109	*	*	LFEW01000007.1_31	*	*	*	*
69	69	1	KV575202.1_120	CP012850.1_2365	*	CP007536.1_783	NC_007426.1_99	LR216287.1_2930	ML675587.1_41	NC_002607.1_2068	VBPF01000104.1_15	*	VBPO01000014.1_177	LT841358.1_845	LFLC01000016.1_6	PFTD01000077.1_6	CP011070.1_873	CM001158.1_786	UYNY01000031.1_137	CP010868.1_1050	BGKI01000007.1_287	AEXL02000090.1_88	CP003843.1_1298	LN890280.1_726	AVSQ01000020.1_14	CP003842.1_1323	AJVI01000001.1_180	CP000866.1_1146	CP024808.1_322	AFPU01000001.1_1171	CBTY010000008.1_507	DP000238.1_1102	VBPL01000035.1_60	FRFC01000005.1_102	CP011097.2_800	BGOU01000008.1_51	BA000048.1_395	VBPD01000048.1_13	FUYK01000007.1_376	VBPH01000068.1_25	CP035425.1_1671	CP024014.1_1430	LQMW01000026.1_40	RKRY01000110.1_16	NC_014222.1_1365	VBPW01000064.1_7	LT981265.1_436	*	DAEN01000048.1_40	LIAL01000014.1_21	CP021324.1_569	NDWU01000008.1_7	DAKA01000099.1_9	REGH01000007.1_36	LDXL01000006.1_48	RHFE01000060.1_16	REGK01000030.1_20	SXPA01000027.1_5	QYQE01000040.1_1	SYJQ01000063.1_9	QOOS01000003.1_51	SYJR01000102.1_36	*	REGF01000094.1_1	RHFD01000032.1_6	LXWN01000001.1_127	NSIR01000001.1_239	CP007026.1_550	LUPB01000009.1_12	NSIS01000012.1_108	1055514_contig_350_7	1055496_contig_1995_11	LFEW01000007.1_32	1055517_contig_3068_1	*	1055472_contig_1171_10	*
30	31	0.124	KV575202.1_123	*	*	CP007536.1_2131	*	*	ML675580.1_8	*	*	NVWC01000001.1_70,NVWC01000001.1_68	*	LT841358.1_840	LFLC01000014.1_37	PFTD01000065.1_3	CP011070.1_870	CM001158.1_789	*	*	BGKI01000007.1_290	AEXL02000090.1_85	CP003843.1_1301	LN890280.1_730	*	CP003842.1_1327	AJVI01000001.1_183	*	CP024808.1_318	AFPU01000001.1_1174	CBTY010000008.1_511	*	VBPL01000035.1_57	FRFC01000005.1_98	CP011097.2_796	BGOU01000008.1_55	*	VBPD01000048.1_17	FUYK01000007.1_380	VBPH01000068.1_21	CP035425.1_1668	*	*	*	NC_014222.1_818	VBPW01000064.1_2	*	*	*	*	*	*	*	*	*	*	*	*	QYQE01000012.1_24	SYJQ01000063.1_12	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
3	3	1	*	CP012850.1_2962	*	*	*	*	ML675580.1_185	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	REGH01000007.1_39	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
73	73	0.932	KV575202.1_126	CP012850.1_2142	PLUF01000048.1_18	CP007536.1_238	NC_007426.1_42	LR216287.1_2777	ML675582.1_68	NC_002607.1_1633	VBPF01000042.1_3	NVWC01000018.1_54	VBPO01000016.1_12	LT841358.1_838	LFLC01000016.1_11	PFTD01000065.1_2	CP011070.1_867	CM001158.1_791	UYNY01000031.1_139	CP010868.1_1046	BGKI01000007.1_293	AEXL02000090.1_82	CP003843.1_1304	LN890280.1_732	AVSQ01000020.1_21	CP003842.1_1330	AJVI01000001.1_186	CP000866.1_1149	CP024808.1_315	AFPU01000001.1_1176	CBTY010000008.1_514	DP000238.1_547	VBPL01000035.1_55	FRFC01000005.1_96	CP011097.2_793	BGOU01000008.1_56	BA000048.1_889	VBPD01000048.1_19	FUYK01000007.1_382	VBPH01000068.1_19	CP035425.1_1665	CP024014.1_811	LQMW01000026.1_43	RKRY01000110.1_17	*	VBPW01000056.1_2	LT981265.1_1055	DAXZ01000027.1_21	DAEN01000053.1_36	LIAL01000014.1_23	CP021324.1_567	*	DAKA01000099.1_11	REGH01000007.1_41	LDXL01000006.1_54	RHFE01000060.1_13	REGK01000030.1_15	SXPA01000027.1_2	QYQE01000012.1_22	SYJQ01000063.1_14	QOOS01000003.1_54	SYJR01000102.1_34	LFEY01000006.1_3	REGF01000100.1_2	RHFD01000032.1_12	LXWN01000001.1_124	NSIR01000001.1_237	CP007026.1_547	LUPB01000009.1_10	NSIS01000012.1_106	1055514_contig_302_15	1055496_contig_1081_17	LFEW01000007.1_34	1055517_contig_355_15	1055475_contig_937_11	1055472_contig_522_11	1055469_contig_1845_8
66	66	1	KV575202.1_127	CP012850.1_2227	PLUF01000040.1_18	CP007536.1_237	*	LR216287.1_2835	ML675582.1_3	*	VBPF01000042.1_4	NVWC01000018.1_53	VBPO01000012.1_141	LT841358.1_837	LFLC01000016.1_12	PFTD01000065.1_1	CP011070.1_866	CM001158.1_792	UYNY01000031.1_140	CP010868.1_1045	BGKI01000007.1_294	AEXL02000090.1_81	CP003843.1_1305	LN890280.1_733	AVSQ01000020.1_22	CP003842.1_1331	AJVI01000001.1_187	CP000866.1_1150	CP024808.1_314	AFPU01000001.1_1177	CBTY010000008.1_515	DP000238.1_548	VBPL01000035.1_54	FRFC01000005.1_95	CP011097.2_792	BGOU01000008.1_57	BA000048.1_888	VBPD01000048.1_20	FUYK01000007.1_383	VBPH01000068.1_18	CP035425.1_1664	CP024014.1_1096	LQMW01000026.1_44	RKRY01000110.1_18	*	VBPW01000056.1_3	LT981265.1_770	DAXZ01000027.1_20	DAEN01000040.1_67	*	CP021324.1_566	NDWU01000016.1_11	*	REGH01000007.1_42	LDXL01000006.1_55	RHFE01000060.1_12	REGK01000030.1_14	*	QYQE01000012.1_21	SYJQ01000063.1_15	QOOS01000003.1_55	*	LFEY01000006.1_4	REGF01000100.1_3	RHFD01000032.1_13	LXWN01000001.1_461	NSIR01000001.1_236	CP007026.1_868	LUPB01000084.1_11	*	1055514_contig_1718_9	1055496_contig_732_39	*	1055517_contig_1594_6	1055475_contig_1833_7	1055472_contig_373_21	1055469_contig_656_13
59	60	0.3	KV575202.1_128	CP012850.1_430	*	CP007536.1_323	*	*	*	*	VBPF01000060.1_4	NVWC01000018.1_52	VBPO01000012.1_277	*	LFLC01000016.1_13	PFTD01000223.1_6	CP011070.1_865	CM001158.1_793	UYNY01000031.1_141	CP010868.1_1044	BGKI01000007.1_295	AEXL02000090.1_80	CP003843.1_1306	*	AVSQ01000020.1_23	CP003842.1_1332	AJVI01000001.1_188	CP000866.1_1151	CP024808.1_313	AFPU01000001.1_1178	CBTY010000008.1_516	DP000238.1_549	*	*	CP011097.2_791	BGOU01000008.1_58	BA000048.1_392,BA000048.1_641	*	*	*	CP035425.1_1663	CP024014.1_1098	LQMW01000026.1_45	RKRY01000110.1_19	*	*	LT981265.1_768	DAXZ01000027.1_19	DAEN01000077.1_2	LIAL01000068.1_9	CP021324.1_565	NDWU01000018.1_29	DAKA01000070.1_10	REGH01000007.1_43	LDXL01000006.1_56	RHFE01000060.1_11	REGK01000030.1_13	SXPA01000068.1_17	*	SYJQ01000063.1_16	QOOS01000003.1_56	SYJR01000102.1_33	LFEY01000006.1_5	REGF01000100.1_4	RHFD01000032.1_14	LXWN01000001.1_462	NSIR01000001.1_235	CP007026.1_869	LUPB01000084.1_10	NSIS01000012.1_105	1055514_contig_412_29	1055496_contig_1212_4	LFEW01000007.1_35	1055517_contig_447_6	1055475_contig_4315_2	1055472_contig_595_2	*
67	67	0.97	KV575202.1_131	CP012850.1_3098	PLUF01000095.1_35	CP007536.1_349	*	LR216287.1_487	ML675585.1_142	NC_002607.1_1871	VBPF01000107.1_4	NVWC01000018.1_48	VBPO01000013.1_28	LT841358.1_433	LFLC01000016.1_16	PFTD01000223.1_3	CP011070.1_862	CM001158.1_796	UYNY01000047.1_4	CP010868.1_1041	BGKI01000007.1_298	AEXL02000090.1_77	CP003843.1_1309	LN890280.1_1165	AVSQ01000020.1_25	CP003842.1_1335	AJVI01000001.1_191	CP000866.1_1157	CP024808.1_311	AFPU01000001.1_1181	CBTY010000008.1_518	DP000238.1_551	VBPL01000032.1_4	FRFC01000004.1_87	CP011097.2_789	BGOU01000008.1_61	BA000048.1_524	VBPD01000038.1_19	FUYK01000003.1_190	VBPH01000093.1_6	CP035425.1_1660	CP024014.1_694	LQMW01000026.1_49	RKRY01000129.1_5	*	VBPW01000018.1_30	LT981265.1_1172	DAXZ01000027.1_17	DAEN01000089.1_8	LIAL01000068.1_5	CP021324.1_561	NDWU01000015.1_24	DAKA01000070.1_5	REGH01000007.1_46	LDXL01000006.1_58	RHFE01000060.1_9	REGK01000030.1_10	SXPA01000068.1_14	QYQE01000015.1_15	SYJQ01000063.1_19	QOOS01000003.1_60	SYJR01000102.1_30	LFEY01000006.1_8	REGF01000072.1_4	RHFD01000032.1_16	LXWN01000001.1_467	NSIR01000001.1_234	CP007026.1_874	LUPB01000084.1_8	NSIS01000012.1_102	*	*	LFEW01000007.1_38	*	*	*	*
42	42	0.285	KV575202.1_132	CP012850.1_3096	PLUF01000094.1_104	CP007536.1_347	*	LR216287.1_485	ML675585.1_140	*	*	NVWC01000018.1_47	VBPO01000013.1_27	LT841358.1_434	LFLC01000016.1_17	PFTD01000246.1_2	CP011070.1_861	CM001158.1_799	*	CP010868.1_1040	BGKI01000007.1_299	AEXL02000090.1_76	CP003843.1_1310	LN890280.1_1164	AVSQ01000020.1_28	CP003842.1_1336	AJVI01000001.1_192	CP000866.1_1158	CP024808.1_310	AFPU01000001.1_1183	CBTY010000008.1_519	*	*	FRFC01000004.1_88	CP011097.2_788	*	BA000048.1_1169	*	FUYK01000003.1_188	*	CP035425.1_1659	*	LQMW01000026.1_50	RKRY01000129.1_4	*	*	*	*	DAEN01000063.1_10	LIAL01000068.1_4	CP021324.1_560	NDWU01000001.1_150	DAKA01000070.1_4	REGH01000007.1_47	*	*	REGK01000030.1_9	*	*	SYJQ01000063.1_20	QOOS01000003.1_61	*	*	REGF01000072.1_3	*	*	*	*	*	*	*	*	*	*	*	*	*
72	72	0.764	KV575202.1_133	CP012850.1_3095	*	CP007536.1_346	NC_007426.1_585	LR216287.1_484	ML675585.1_139	NC_002607.1_376	VBPF01000147.1_9	NVWC01000018.1_46	VBPO01000013.1_26	LT841358.1_435	LFLC01000016.1_18	PFTD01000246.1_3	CP011070.1_860	CM001158.1_800	UYNY01000047.1_14	CP010868.1_1039	BGKI01000007.1_300	AEXL02000090.1_75	CP003843.1_1311	LN890280.1_1163	AVSQ01000020.1_29	CP003842.1_1337	AJVI01000001.1_193	CP000866.1_1159	CP024808.1_309	AFPU01000001.1_1184	CBTY010000008.1_520	DP000238.1_559	VBPL01000032.1_1	FRFC01000004.1_89	CP011097.2_787	BGOU01000008.1_62	BA000048.1_1168	VBPD01000038.1_20	FUYK01000003.1_187	VBPH01000093.1_7	CP035425.1_1658	CP024014.1_691	LQMW01000026.1_51	RKRY01000129.1_3	*	VBPW01000018.1_29	LT981265.1_1175	DAXZ01000027.1_16	DAEN01000063.1_11	LIAL01000068.1_3	CP021324.1_559	NDWU01000001.1_151	DAKA01000070.1_3	REGH01000007.1_48	LDXL01000006.1_59	RHFE01000060.1_5	REGK01000030.1_8	SXPA01000068.1_13	QYQE01000015.1_14	SYJQ01000063.1_21	QOOS01000003.1_62	SYJR01000102.1_29	LFEY01000006.1_9	REGF01000072.1_2	RHFD01000032.1_20	LXWN01000001.1_468	NSIR01000001.1_233	CP007026.1_875	LUPB01000084.1_7	NSIS01000012.1_101	1055514_contig_216_15	1055496_contig_2105_2	LFEW01000007.1_39	1055517_contig_369_15	1055475_contig_1868_6	*	1055469_contig_674_7
